date,time,model,run_id,resolved,total,pct,mtime
2026-05-05,05:56,Qwen3.6-27B FP8 (mini-swe-agent),mini_swev_matrix25_v5_a_repro,13,500,2.6,1777931763
2026-05-05,06:29,Qwen3.6-27B FP8 (mini-swe-agent),mini_swev_matrix25_v5_a_short,14,500,2.8,1777933779
2026-05-05,06:44,Qwen3.6-27B FP8 (mini-swe-agent),mini_swev_matrix25_v5_a_only,15,500,3.0,1777934645
2026-05-05,10:39,Qwen3.6-27B FP8 (mini-swe-agent),mini_swev_round6_r6_a_only,36,500,7.2,1777948769
2026-05-05,14:15,Qwen3.5-27B-NoThinking,5-27B-NoThinking.r9_armA,65,500,13.0,1777961743
2026-05-05,14:57,Qwen3.5-27B-Thinking,5-27B-Thinking.r9_armC,63,500,12.6,1777964277
2026-05-05,15:44,Qwen3.5-27B-Thinking,5-27B-Thinking.r9_armB,64,500,12.8,1777967086
2026-05-05,17:27,Qwen3.5-27B-NoThinking,5-27B-NoThinking.r10_pte,62,500,12.4,1777973263
2026-05-06,11:05,Qwen3.5-27B-NoThinking,5-27B-NoThinking.r12_A1,59,500,11.8,1778036729
2026-05-06,11:22,Qwen3.5-27B-NoThinking,5-27B-NoThinking.r12_A2,62,500,12.4,1778037767
2026-05-06,12:39,Qwen3-Next-NoThinking (80B),r12_R4,60,500,12.0,1778042353
2026-05-07,16:26,Qwen3.5-27B-NoThinking,5-27B-NoThinking.r14_union,80,500,16.0,1778142378
2026-05-07,18:39,Qwen3.5-27B-NoThinking,5-27B-NoThinking.r14b_full,68,500,13.6,1778150347
2026-05-07,22:49,Qwen3-Next-NoThinking (80B),r14c_v1,66,500,13.2,1778165349
2026-05-08,11:24,Qwen3-Next-NoThinking (80B),r14d_v0,67,500,13.4,1778210645
2026-05-08,12:37,Qwen3-Next-NoThinking (80B),r14d_v1,66,500,13.2,1778215028
2026-05-08,14:31,Qwen3-Next-NoThinking (80B),r14d_v2_step200,68,500,13.6,1778221890
2026-05-08,16:00,Qwen3-Next-NoThinking (80B),r14e_v0,69,500,13.8,1778227242
2026-05-08,17:26,Qwen3.5-27B-Thinking,5-27B-Thinking.r14h,66,500,13.2,1778232398
2026-05-08,19:47,Qwen3.5-27B-Thinking,5-27B-Thinking.r14i,69,500,13.8,1778240867
2026-05-09,06:41,Qwen3-Next-NoThinking (80B),r14j_500,340,500,68.0,1778280111
2026-05-10,02:17,Qwen3.5-27B-Thinking,5-27B-Thinking.r14k_500,339,500,67.8,1778350652
2026-05-10,16:05,Qwen3.5-27B-Thinking,5-27B-Thinking.cli_swe_poc,1,500,0.2,1778400301
2026-05-10,16:53,Qwen3.5-27B-Thinking,5-27B-Thinking.cli_swe_v2_20,16,500,3.2,1778403201
2026-05-10,16:53,Qwen3.5-27B-Thinking,5-27B-Thinking.cli_swe_retry_seaborn,1,500,0.2,1778403210
2026-05-10,17:24,Qwen3.5-27B-Thinking,5-27B-Thinking.cli_swe_retry_req,0,500,0.0,1778405072
2026-05-11,14:53,Qwen3.5-27B-Thinking,5-27B-Thinking.cli_swe_500_lenient,446,500,89.2,1778482404
2026-05-11,11:52,Qwen3.5-27B-Thinking,qwen-cli.qwen_swe_500_full_strict,427,500,85.4,1778500320
2026-05-12,01:21,Qwen3.5-27B-Thinking,qwen-cli.qwen_psf_4_real_httpbin,3,4,75.0,1778591694
2026-05-12,04:30,Qwen3.5-27B-Thinking,qwen-cli.qwen_swe_500_lenient_combined,434,500,86.8,1778603400
